SENTENCE,MAIN,N
아이스아메리카노 하나요,일반주문,81
네 텀블러에 넣어주세요,텀블러사용,103
그란데 사이즈로 주세요,일반주문,81
저 카푸치노로 주문할게요,일반주문,81
그럼 2000원 추가해서 브레드도 같이 시킬게요,결제요청,4
저 도장 다 모았는데 나중에 써도 되나요?,기프티콘쿠폰멤버십사용문의,11
이 기프티콘 여기서 사용할 수 있나요?,기프티콘쿠폰멤버십사용문의,11
그럼 이 기프티콘 쓰고 다른걸로 주문할게요,일반주문,81
자바칩 프라푸치노에 휘핑 빼고요,일반주문,81
여기 기프티콘 대면 되죠?,결제요청,4
"따뜻한 아메리카노 한 잔, 아이스라떼 한 잔이요.",일반주문,81
"네, 그런데 중간에 테이크 아웃도 가능한가요?",남은음료테이크아웃문의,12
"네, 스콘도 3개 같이 주세요.",일반주문,81
카푸치노 차갑게 되나요?,일반주문,81
아이스 카푸치노 개인컵에 주실 수 있나요?,텀블러사용,103
음료와 같이 먹을 빵 추천해주세요,메뉴추천요구,32
모바일 쿠폰으로 결제할 수 있어요?,기프티콘쿠폰멤버십결제요구,9
화장실은 어디에 있나요?,화장실위치문의,124
여기에서 제일 잘나가는 커피가 뭐에요?,메뉴추천요구,32
라이트한 맛의 아이스아메리카노요?,메뉴문의,29
"그럼 그거 한잔하고, 카페라떼 주세요.",일반주문,81
아메리카노 톨 사이즈로 주세요,일반주문,81
네 그리고 이 맴버쉽 할인 사용할게요,할인요청,117
진동밸을 따로 주시나요?,픽업문의,115
와이파이 비밀번호는 뭐에요?,와이파이문의,70
계절메뉴 주문가능한가요?,계절메뉴주문문의,6
배달 하시나요?,배달문의,40
콘센트 자리 있나요?,콘센트자리문의,100
커피에 샷 추가 가능한가요?,에스프레소샷개수요구,63
남은 음료 담아 주시나요?,남은음료테이크아웃문의,12
밀크티 있나요?,메뉴문의,29
밀크티에 혹시 우유가 들어가나요 아니면 우유 분말이 들어가나요?,재료문의,85
